Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Maignan;P;6.25;imgBonus size-s imgBonus_2;2498
Titolare;Hernandez;D;7;;2017
Titolare;Romagnoli A.;D;6.5;;404
Titolare;Pongracic;D;6.25;;2846
Titolare;Zaccagni;C;5.75;imgBonus size-s imgBonus_6;748
Titolare;Ndoye;C;5.5;;3179
Titolare;Calhanoglu;C;7.5;imgBonus size-s imgBonus_3;1507
Titolare;Anguissa;C;5.75;;2577
Titolare;Leao;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2089
Riserva;Dia;A;;;2842
Titolare;Luvumbo;A;7;imgBonus size-s imgBonus_1;2345
Riserva;Consigli;P;5;imgBonus size-s imgBonus_2;147
Titolare;Almqvist;A;6.5;;3076
Riserva;Mota;A;5.25;;1696
Riserva;Darmian;D;6.5;;154
Riserva;Mari;D;4.75;imgBonus size-s imgBonus_6;2676
Riserva;Oristanio;C;6;;3098
Riserva;Krunic;C;6.5;;498
