Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Sommer;P;6;imgBonus size-s imgBonus_10;3174
Titolare;Bremer;D;6.5;;1773
Titolare;Posch;D;6;;2868
Titolare;Pirola;D;5.75;;2200
Titolare;Doig;D;4.5;imgBonus size-s imgBonus_6;2782
Titolare;Lobotka;C;6;;2158
Titolare;Malinovskyi;C;5.5;imgBonus size-s imgBonus_6;2078
Titolare;Luis Alberto;C;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;1367
Titolare;Politano;C;6;;510
Titolare;Barella;C;6;imgBonus size-s imgBonus_6;809
Titolare;Berardi;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_15;84
Riserva;Milinkovic;P;6.5;imgBonus size-s imgBonus_10;1523
Riserva;Gudmundsson;A;5.5;;2713
Riserva;Arthur;C;6;;2236
Riserva;Pasalic;C;;;1357
Riserva;Izzo;D;5;imgBonus size-s imgBonus_6;254
Riserva;Smalling;D;6;;2119
Riserva;Mancini;D;5;;1549
