Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Meret;P;5.75;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;325
Titolare;Bellanova;D;5.5;;1717
Titolare;Bijol;D;6;;2773
Titolare;Vina;D;5.5;;2526
Titolare;Ruggeri;D;7;imgBonus size-s imgBonus_9;2366
Titolare;Ricci;C;6;;1269
Titolare;Lovric;C;5.5;;2762
Titolare;Ciurria;C;5;;2744
Titolare;Frattesi;C;6;;1431
Titolare;Gonzalez N.;A;5.75;;2507
Titolare;Thuram;A;7.75;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_15;3073
Riserva;Falcone;P;6.5;imgBonus size-s imgBonus_10;1449
Riserva;Lucca;A;5.5;;3090
Riserva;Carlos Augusto;D;6;;2740
Riserva;Buongiorno;D;6.25;;1463
Riserva;Arnautovic;A;6;;2535
Riserva;Lookman;A;;;2812
Riserva;Calabria;D;6;imgBonus size-s imgBonus_9;668
