Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Skorupski;P;6;imgBonus size-s imgBonus_2;429
Titolare;Bastoni A.;D;6.5;;1389
Titolare;Scalvini;D;6;;2561
Titolare;Vojvoda;D;6;;2292
Titolare;Orsolini;C;5;imgBonus size-s imgBonus_4;1519
Titolare;Reijnders;C;6.75;;3149
Titolare;Strefezza;C;7;imgBonus size-s imgBonus_3;2046
Titolare;Scamacca;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1;1454
Titolare;Zapata;A;5.5;;483
Titolare;Vlahovic;A;5;imgBonus size-s imgBonus_4|imgBonus size-s imgBonus_6;1816
Titolare;Giroud;A;7;imgBonus size-s imgBonus_3;2500
Riserva;Montipo;P;5.75;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;2241
Riserva;Vlasic;C;5.5;;2827
Riserva;Ederson;C;6.75;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2701
Riserva;Locatelli;C;6;imgBonus size-s imgBonus_6;1123
Riserva;Bakker;D;6;;3054
Riserva;Kolasinac;D;6;;3055
Riserva;Olivera;D;5;;2754
