Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Silvestri;P;6;imgBonus size-s imgBonus_10;1599
Titolare;Schuurs;D;6.5;;2832
Titolare;Rrahmani;D;5;;2045
Titolare;Tomori;D;5;imgBonus size-s imgBonus_7;2428
Titolare;Pulisic;C;6.75;;3078
Titolare;Rabiot;C;5.75;;2029
Titolare;De Ketelaere;C;6.5;imgBonus size-s imgBonus_9;2804
Titolare;Nandez;C;6;;2098
Titolare;Osimhen;A;5.5;;2290
Titolare;Retegui;A;5.25;;3151
Titolare;Ngonge;A;6.5;imgBonus size-s imgBonus_1;2906
Riserva;Provedel;P;6.5;imgBonus size-s imgBonus_2;500
Riserva;Gatti;D;6.5;;2741
Riserva;Baschirotto;D;6.25;;2775
Riserva;De Vrij;D;6.5;;164
Riserva;El Shaarawy;C;5;;190
Riserva;Gagliardini;C;6;;733
Riserva;Belotti;A;5.75;;79
