Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Maignan;P;5.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;2498
Titolare;Hernandez;D;4.5;imgBonus size-s imgBonus_6;2017
Titolare;Bradaric;D;4.75;;2788
Titolare;Darmian;D;6;;154
Titolare;Zaccagni;C;5.5;;748
Titolare;Henrique;C;5.5;;2545
Titolare;Calhanoglu;C;7;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_6;1507
Titolare;Anguissa;C;5.5;;2577
Titolare;Leao;A;6;imgBonus size-s imgBonus_1;2089
Titolare;Caprari;A;5.5;;1185
Titolare;Luvumbo;A;6.5;;2345
Riserva;Sportiello;P;;;435
Riserva;Almqvist;A;6.5;;3076
Riserva;Thauvin;A;6;imgBonus size-s imgBonus_6;2911
Riserva;Oristanio;C;;;3098
Riserva;Paredes;C;6.25;;356
Riserva;Pavard;D;;;3206
Riserva;Pongracic;D;6.5;;2846
