Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Milinkovic;P;6.5;imgBonus size-s imgBonus_10;1523
Riserva;Smalling;D;;;2119
Titolare;Posch;D;6;imgBonus size-s imgBonus_6;2868
Titolare;Bremer;D;5.5;imgBonus size-s imgBonus_6;1773
Titolare;Lazaro;D;6.25;;2019
Titolare;Lobotka;C;5.5;;2158
Titolare;Barella;C;6.25;;809
Titolare;Luis Alberto;C;7;imgBonus size-s imgBonus_1;1367
Titolare;Politano;C;7;imgBonus size-s imgBonus_1;510
Titolare;Lukaku;A;7.25;imgBonus size-s imgBonus_1;2099
Titolare;Berardi;A;6.5;;84
Riserva;Sommer;P;6;imgBonus size-s imgBonus_2;3174
Riserva;Petagna;A;;;1193
Riserva;Gudmundsson;A;6.5;;2713
Riserva;Arthur;C;6;;2236
Riserva;Malinovskyi;C;5.5;;2078
Titolare;Mancini;D;7;imgBonus size-s imgBonus_1;1549
Riserva;Pirola;D;4.75;;2200
