Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Szczesny;P;6.25;imgBonus size-s imgBonus_2;720
Titolare;Zappa;D;6;;2325
Titolare;Zappacosta;D;5.75;;484
Titolare;Cambiaso;D;6;imgBonus size-s imgBonus_6;2556
Titolare;Chiesa;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1128
Titolare;Koopmeiners;C;7;imgBonus size-s imgBonus_1;2580
Titolare;Lauriente;C;5.75;;2857
Titolare;Pessina;C;6.5;;1508
Titolare;Krstovic;A;6.75;imgBonus size-s imgBonus_3;3191
Titolare;Kvaratskhelia;A;5.5;;2769
Titolare;Pinamonti;A;7.25;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1;1306
Riserva;Perin;P;;;369
Riserva;Ndicka;D;6.25;;3080
Riserva;Kamara;D;5.75;;3085
Riserva;Terracciano F.;D;6;;2217
Riserva;Mkhitaryan;C;8.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9;2124
Riserva;Samardzic;C;5.25;;2541
Riserva;Cheddira;A;7;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_9;2024
