Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Skorupski;P;6;imgBonus size-s imgBonus_10;429
Titolare;Kolasinac;D;5.5;;3055
Riserva;Bakker;D;;;3054
Titolare;Scalvini;D;5.5;;2561
Titolare;Felipe Anderson;C;5.5;;196
Titolare;Orsolini;C;6;;1519
Titolare;Colpani;C;7;imgBonus size-s imgBonus_1;1881
Riserva;Vlasic;C;;;2827
Titolare;Giroud;A;6.25;imgBonus size-s imgBonus_9;2500
Titolare;Vlahovic;A;8;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;1816
Titolare;Scamacca;A;5.5;;1454
Riserva;Di Gregorio;P;;;1429
Riserva;Zapata;A;7;;483
Titolare;Reijnders;C;5;;3149
Riserva;Ederson;C;5.25;;2701
Titolare;Mazzocchi;D;5;;2479
Riserva;Bastoni A.;D;6.25;;1389
Riserva;Olivera;D;6;;2754
