Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Silvestri;P;6;imgBonus size-s imgBonus_10;1599
Titolare;Schuurs;D;6.5;imgBonus size-s imgBonus_6;2832
Riserva;Rrahmani;D;;;2045
Titolare;Baschirotto;D;5.5;imgBonus size-s imgBonus_7;2775
Titolare;Pulisic;C;5.25;;3078
Titolare;Rabiot;C;6.5;imgBonus size-s imgBonus_9;2029
Titolare;De Ketelaere;C;5.5;;2804
Riserva;Nandez;C;;;2098
Titolare;Osimhen;A;5.25;;2290
Titolare;Retegui;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;3151
Titolare;Ngonge;A;6;;2906
Riserva;Provedel;P;7;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;500
Titolare;Gatti;D;6.5;imgBonus size-s imgBonus_6;2741
Riserva;Faraoni;D;6.5;imgBonus size-s imgBonus_6;536
Riserva;De Vrij;D;6;;164
Riserva;El Shaarawy;C;;;190
Titolare;Gagliardini;C;6;;733
Riserva;Belotti;A;6.75;imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_9;79
