Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Sommer;P;7;imgBonus size-s imgBonus_10;3174
Titolare;Mancini;D;5.75;;1549
Titolare;Acerbi;D;7;;40
Titolare;Posch;D;6.25;;2868
Titolare;Bremer;D;6.5;imgBonus size-s imgBonus_6;1773
Titolare;Lazovic;C;6;;669
Titolare;Malinovskyi;C;7.25;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;2078
Titolare;Luis Alberto;C;6;;1367
Titolare;Politano;C;6;;510
Titolare;Lukaku;A;5;;2099
Titolare;Berardi;A;5.75;imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9;84
Riserva;Milinkovic;P;6.5;imgBonus size-s imgBonus_10;1523
Riserva;Lazaro;D;;;2019
Riserva;D'Ambrosio;D;5.75;;36
Riserva;Barella;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9;809
Riserva;Arthur;C;6.75;;2236
Riserva;Lobotka;C;6;;2158
Riserva;Azmoun;A;6;;3211
