Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Terracciano;P;6;imgBonus size-s imgBonus_10;1821
Titolare;Dumfries;D;6;;2551
Riserva;Parisi;D;;;2492
Titolare;Biraghi;D;6.25;imgBonus size-s imgBonus_9;95
Riserva;Beukema;D;;;3056
Titolare;Pellegrini Lo.;C;6;;364
Titolare;Bonaventura;C;7;imgBonus size-s imgBonus_1;101
Titolare;Cristante;C;5.5;;1080
Titolare;Immobile;A;5;;1084
Titolare;Lookman;A;5.5;;2812
Titolare;Dybala;A;7.25;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_9;185
Riserva;Musso;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1794
Riserva;Castellanos;A;5.25;;3100
Riserva;Aouar;C;;;3081
Riserva;Coulibaly L.;C;5;;2554
Riserva;Makoumbou;C;5;imgBonus size-s imgBonus_7;3058
Titolare;Patric;D;5.75;;618
Titolare;Vina;D;5;;2526
