Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Sommer;P;6.25;imgBonus size-s imgBonus_10;3174
Titolare;Mancini;D;6;;1549
Titolare;Posch;D;5.5;;2868
Riserva;Acerbi;D;;;40
Titolare;Politano;C;6.5;;510
Titolare;Pasalic;C;6.5;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_15;1357
Titolare;Gaetano;C;4.5;;1944
Titolare;Barella;C;6.5;;809
Titolare;Luis Alberto;C;6.5;imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9;1367
Titolare;Gudmundsson;A;7;imgBonus size-s imgBonus_1;2713
Titolare;Toure;A;5.75;;3156
Riserva;Audero;P;;;525
Riserva;Lukaku;A;;;2099
Riserva;Niang;A;5.5;;345
Riserva;Lazovic;C;5.5;;669
Titolare;Bremer;D;6.25;;1773
Riserva;Smalling;D;;;2119
Riserva;Izzo;D;6.25;imgBonus size-s imgBonus_6;254
