Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Falcone;P;6;imgBonus size-s imgBonus_2;1449
Riserva;Calafiori;D;;;2143
Titolare;Buongiorno;D;5.5;;1463
Titolare;Carlos Augusto;D;6;;2740
Titolare;Pereyra;C;6.75;;367
Titolare;Mazzitelli;C;6.25;imgBonus size-s imgBonus_6;1290
Titolare;Brescianini;C;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9;1903
Titolare;Guendouzi;C;6.5;;3215
Titolare;Gonzalez N.;A;8;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1;2507
Titolare;Thuram;A;6.75;;3073
Titolare;Piccoli;A;5.5;;1920
Riserva;Turati;P;6;imgBonus size-s imgBonus_10;2135
Titolare;Di Lorenzo;D;5.5;;1822
Riserva;Bellanova;D;5.75;;1717
Riserva;Ruggeri;D;5.75;;2366
Riserva;Zielinski;C;;;486
Riserva;Mkhitaryan;C;7;imgBonus size-s imgBonus_9;2124
Riserva;Lucca;A;6.5;imgBonus size-s imgBonus_6;3090
