Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Maignan;P;6;imgBonus size-s imgBonus_10;2498
Titolare;Hernandez;D;6;;2017
Riserva;Pavard;D;;;3206
Titolare;Romagnoli A.;D;5.25;imgBonus size-s imgBonus_6;404
Titolare;Zaccagni;C;6.5;;748
Titolare;Calhanoglu;C;5.75;;1507
Titolare;Henrique;C;6;;2545
Titolare;Cambiaghi;C;6.25;;1975
Titolare;Castellanos;A;5.5;;3100
Titolare;Jovic;A;5.25;;2774
Titolare;Tchaouna;A;5;;3207
Riserva;Consigli;P;6;imgBonus size-s imgBonus_10;147
Riserva;Locatelli;C;5.75;;1123
Riserva;Mota;A;7.5;imgBonus size-s imgBonus_1;1696
Riserva;Almqvist;A;5.75;;3076
Riserva;Cancellieri;C;;imgBonus size-s imgBonus_6;2387
Titolare;Luperto;D;5.75;;682
Riserva;Sabelli;D;4.75;imgBonus size-s imgBonus_6;1094
