Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Sommer;P;6.5;imgBonus size-s imgBonus_10;3174
Riserva;Smalling;D;;;2119
Titolare;Mancini;D;5;imgBonus size-s imgBonus_6;1549
Titolare;Bremer;D;6;;1773
Titolare;Politano;C;6.75;;510
Titolare;Gaetano;C;7;imgBonus size-s imgBonus_1;1944
Titolare;Barella;C;5.5;;809
Titolare;Luis Alberto;C;6.5;;1367
Titolare;Niang;A;5.5;;345
Titolare;Gudmundsson;A;5.75;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_4;2713
Titolare;Lukaku;A;5;;2099
Riserva;Audero;P;;;525
Riserva;Lobotka;C;6.25;;2158
Riserva;Malinovskyi;C;5.75;;2078
Riserva;Arthur;C;;;2236
Riserva;Toure;A;;;3156
Riserva;Sanchez;A;5.5;;2109
Titolare;Posch;D;6;;2868
