Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Maignan;P;7.25;imgBonus size-s imgBonus_2;2498
Titolare;Rodriguez;D;6.5;;1504
Titolare;Romagnoli A.;D;6;;404
Titolare;Pavard;D;6.5;;3206
Titolare;Zaccagni;C;6;;748
Titolare;Cambiaghi;C;6.25;imgBonus size-s imgBonus_6;1975
Titolare;Calhanoglu;C;6;;1507
Titolare;Henrique;C;6.5;imgBonus size-s imgBonus_9;2545
Titolare;Luvumbo;A;6;;2345
Titolare;Leao;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_15;2089
Titolare;Thauvin;A;6.5;imgBonus size-s imgBonus_1;2911
Riserva;Sportiello;P;;;435
Riserva;Locatelli;C;5.5;;1123
Riserva;Cancellieri;C;;;2387
Riserva;Tchaouna;A;5.5;imgBonus size-s imgBonus_6;3207
Riserva;Castellanos;A;5.75;;3100
Riserva;Sabelli;D;6;;1094
Riserva;Luperto;D;6;;682
