Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Turati;P;6.5;imgBonus size-s imgBonus_2;2135
Titolare;Calafiori;D;7;imgBonus size-s imgBonus_9;2143
Titolare;Buongiorno;D;6.5;;1463
Titolare;Bellanova;D;6.75;;1717
Titolare;Thorstvedt;C;5.5;;2772
Titolare;Pereyra;C;6.5;;367
Titolare;Mkhitaryan;C;6.5;;2124
Titolare;Mazzitelli;C;6;;1290
Titolare;Noslin;A;6.5;imgBonus size-s imgBonus_9;3277
Titolare;Thuram;A;5.75;;3073
Titolare;Gonzalez N.;A;6;;2507
Riserva;Falcone;P;6.5;imgBonus size-s imgBonus_10;1449
Riserva;Dossena;D;5.75;;590
Riserva;Di Lorenzo;D;5;imgBonus size-s imgBonus_6;1822
Riserva;Lovric;C;5;;2762
Riserva;Ricci;C;7;;1269
Riserva;Brescianini;C;6.25;;1903
Riserva;Sanabria;A;7;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_15;416
