Squadra;Punti;Vittorie;Nulle;Sconfitte;GolFa;GolSu;FantaPunti;PG
Cagasbunra;65;21;2;12;65;51;2581,75;35
FC SIGONELLA;61;18;7;10;59;58;2544,5;35
MichelleComo1907;60;18;6;11;65;46;2570,75;35
Mignottingham;54;15;9;11;62;50;2562,25;35
Blackjack e squillo di lusso SPA;51;14;9;12;57;52;2548,75;35
Al Hito;43;12;7;16;45;52;2460,5;35
Quack Quack Team;42;11;9;15;46;53;2470,75;35
F.O.C A.C Ina;41;11;8;16;43;52;2458;35
PACCIANINAIKOS;39;9;12;14;49;59;2499,75;35
Zapata sui piedi FC;29;6;11;18;32;50;2383,5;35
