Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Sommer;P;6.5;imgBonus size-s imgBonus_10;3174
Titolare;Bastoni A.;D;7.25;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1389
Titolare;Dorgu;D;5.5;;3155
Titolare;Martin;D;6.25;;3068
Titolare;Reijnders;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;3149
Titolare;Mctominay;C;5.75;;3488
Titolare;Zaccagni;C;5.75;imgBonus size-s imgBonus_6;748
Titolare;Neres;C;6.5;;3472
Titolare;Thauvin;A;6.25;imgBonus size-s imgBonus_9;2911
Titolare;Dovbyk;A;6.5;imgBonus size-s imgBonus_9;3439
Titolare;Djuric;A;6;;854
Riserva;Martinez J.;P;;;3065
Riserva;Gallo;D;5.5;;2086
Riserva;Martinez Quarta;D;;;2368
Riserva;Frendrup;C;6;;2706
Riserva;Busio;C;6.25;;2544
Riserva;Beltran;A;6;;3178
Riserva;Karlsson;A;;;2547
