Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Di Gregorio;P;7;imgBonus size-s imgBonus_2;1429
Titolare;Cambiaso;D;4.75;;2556
Titolare;Savona;D;5;;3446
Titolare;Pezzella;D;6.25;;706
Titolare;Koopmeiners;C;5.5;;2580
Riserva;Lazovic;C;;;669
Titolare;Pierret;C;6.25;;3370
Titolare;Dele Bashiru;C;6;;3397
Titolare;Martinez L.;A;7;imgBonus size-s imgBonus_1;1747
Titolare;Lucca;A;5.75;imgBonus size-s imgBonus_6;3090
Titolare;Piccoli;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_15;1920
Riserva;Perin;P;;;369
Riserva;Mina;D;6.5;imgBonus size-s imgBonus_6;3163
Riserva;Posch;D;;;2868
Riserva;Gaetano;C;;;1944
Titolare;Bondo;C;5.25;imgBonus size-s imgBonus_6;2798
Riserva;Raspadori;A;;;1947
Riserva;Almqvist;A;6.25;;3076
