Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Riserva;Provedel;P;;;500
Titolare;Angelino;D;5.5;;3286
Titolare;Zappacosta;D;6;imgBonus size-s imgBonus_6;484
Titolare;Sabelli;D;6;;1094
Titolare;Ederson;C;6;;2701
Titolare;Pasalic;C;6.75;imgBonus size-s imgBonus_1;1357
Titolare;Cambiaghi;C;5.5;;1975
Titolare;Fagioli;C;5.25;;1921
Titolare;Retegui;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_15;3151
Titolare;Dia;A;6;;2842
Titolare;Soule;A;7;imgBonus size-s imgBonus_1;2604
Titolare;Mandas;P;6.5;imgBonus size-s imgBonus_2;3224
Riserva;Ndicka;D;6.5;;3080
Riserva;Mckennie;C;6.25;;2297
Riserva;Caprari;A;5;;1185
Riserva;Hummels;D;;;3516
Riserva;Coulibaly L.;C;5.25;;2554
Riserva;Cuadrado;D;;;952
