Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Ravaglia;P;5.75;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;2318
Titolare;Spinazzola;D;6.25;;957
Riserva;Hernandez;D;;;2017
Titolare;Olivera;D;6;;2754
Titolare;Guendouzi;C;5.5;imgBonus size-s imgBonus_6;3215
Titolare;Calhanoglu;C;6.5;imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9;1507
Titolare;Strefezza;C;5.75;imgBonus size-s imgBonus_6;2046
Titolare;Locatelli;C;7;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_15;1123
Riserva;Leao;A;;;2089
Titolare;Colombo;A;5.5;;2309
Titolare;Vlahovic;A;6;;1816
Riserva;Skorupski;P;;;429
Titolare;Felix;A;6.5;imgBonus size-s imgBonus_1;3596
Riserva;Douvikas;A;5.5;;3598
Riserva;Asllani;C;6;;2555
Riserva;Fofana;C;;;3467
Titolare;Cacace;D;6.25;;2715
Riserva;Ruggeri;D;6;;2366
