Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Svilar;P;6.5;imgBonus size-s imgBonus_10;2746
Titolare;Bellanova;D;5.5;;1717
Titolare;Dumfries;D;6;;2551
Titolare;Tchatchoua;D;4.5;imgBonus size-s imgBonus_7;3219
Titolare;Barella;C;6.5;imgBonus size-s imgBonus_9;809
Titolare;Zielinski;C;6;;486
Titolare;Oristanio;C;7;imgBonus size-s imgBonus_6;3098
Titolare;Viola;C;5.25;;1573
Titolare;Morata;A;6;;336
Titolare;Lookman;A;5.75;;2812
Titolare;Krstovic;A;6;;3191
Riserva;Stankovic;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;2184
Riserva;Zampano;D;6.5;;1171
Riserva;Ranieri;D;6;;1587
Riserva;Candela;D;6;;1943
Riserva;Pellegrini Lo.;C;5.5;imgBonus size-s imgBonus_6;364
Riserva;Prati;C;5.5;;3189
Riserva;Isaksen;C;6.5;imgBonus size-s imgBonus_6;3165
