Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Scuffet;P;5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;422
Riserva;Idzes;D;;;3361
Titolare;Bijol;D;6.25;imgBonus size-s imgBonus_6;2773
Titolare;Ruggeri;D;6;;2366
Titolare;Dimarco;D;6.25;;599
Titolare;Yildiz;C;6.25;;2952
Titolare;De Ketelaere;C;5.5;;2804
Riserva;Kean;A;;;1386
Titolare;Adams;A;5.5;;3421
Titolare;Pinamonti;A;6;imgBonus size-s imgBonus_6;1306
Titolare;Banda;A;6.5;imgBonus size-s imgBonus_9;2810
Riserva;Milinkovic;P;6.25;imgBonus size-s imgBonus_2;1523
Riserva;Adzic;C;;;3405
Titolare;Belahyane;C;5;imgBonus size-s imgBonus_7;3281
Riserva;Marin;C;6;;2311
Riserva;Calabria;D;;;668
Titolare;Luperto;D;5.25;;682
Riserva;Vasquez D.;P;5.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;2892
