Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Maignan;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;2498
Titolare;Rrahmani;D;6;;2045
Titolare;Hien;D;6;;2853
Titolare;Coco;D;5.5;imgBonus size-s imgBonus_6;3406
Titolare;Dodo;D;6.5;;2793
Riserva;Cristante;C;;;1080
Titolare;Duda;C;5.75;;2910
Titolare;Loftus Cheek;C;6;;3077
Titolare;Politano;C;6;;510
Titolare;Sanabria;A;5.5;;416
Titolare;Bonny;A;6.25;;3380
Riserva;Montipo;P;;;2241
Titolare;Gyasi;A;5;;2266
Riserva;Paredes;C;;;356
Riserva;Sverko;D;;;3390
Riserva;Zortea;D;5.75;;2520
Riserva;Livramento;A;;;3428
Riserva;Mosquera;A;6.25;;3403
