Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Butez;P;6;imgBonus size-s imgBonus_10;3545
Titolare;Bellanova;D;5.75;;1717
Titolare;Pavlovic;D;5.75;;3436
Titolare;Gila;D;5.5;;2776
Titolare;Djimsiti;D;6.25;;1090
Titolare;Isaksen;C;5.5;;3165
Titolare;Barella;C;5;;809
Titolare;Zerbin;C;5.5;;1461
Titolare;Lookman;A;5.5;;2812
Titolare;Gonzalez N.;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2507
Titolare;Adams;A;5;;3421
Riserva;Svilar;P;6.25;imgBonus size-s imgBonus_10;2746
Riserva;Kalulu;D;6.25;;2277
Riserva;Kempf;D;6.5;;3490
Riserva;Valle;D;6;;3579
Riserva;Oristanio;C;6.25;;3098
Riserva;Linetty;C;5.5;;1294
Riserva;Esposito S.;A;6;;2091
