Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Leali;P;6.5;imgBonus size-s imgBonus_10;651
Titolare;Gaspar;D;6.5;;3368
Riserva;Lazaro;D;;;2019
Titolare;Kyriakopoulos;D;5.75;imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9;2123
Riserva;Pavard;D;;;3206
Titolare;Thuram K.;C;6.25;;3413
Titolare;Anguissa;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;2577
Titolare;Pulisic;C;6.5;imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9;3078
Titolare;Gytkjaer;A;5.75;;2743
Titolare;Thuram;A;6;imgBonus size-s imgBonus_1;3073
Riserva;Arnautovic;A;;;2535
Riserva;Siegrist;P;;;3572
Titolare;Muani;A;5.5;;3555
Titolare;Freuler;C;6;;1091
Riserva;Sohm;C;6.25;;2363
Riserva;Lobotka;C;6;;2158
Titolare;Ehizibue;D;6;;2860
Riserva;Gabbia;D;;;1501
