Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Caprile;P;6.5;imgBonus size-s imgBonus_10;1904
Titolare;Solet;D;5.25;;3541
Titolare;Kolasinac;D;5.75;imgBonus size-s imgBonus_6;3055
Titolare;Acerbi;D;5.25;;40
Titolare;Miranda J.;D;6.5;;3395
Titolare;Yildiz;C;5.75;;2952
Titolare;Orsolini;C;6.5;;1519
Titolare;Samardzic;C;5.5;;2541
Titolare;Kone M.;C;6.25;;3500
Titolare;Frattesi;C;5.5;;1431
Titolare;Gudmundsson;A;6.75;;2713
Riserva;Meret;P;;;325
Riserva;Cutrone;A;;;1390
Riserva;Gimenez;A;5.75;;3582
Riserva;Pellegrini Lo.;C;;;364
Riserva;Weah;C;6.25;;3074
Riserva;Felici;D;;;3401
Riserva;De Vrij;D;;;164
