Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Leali;P;6.5;imgBonus size-s imgBonus_10;651
Titolare;Ehizibue;D;5.25;;2860
Riserva;Pavard;D;;;3206
Riserva;Paz;C;;;3476
Titolare;Nicolussi;C;6.5;;1955
Titolare;Thuram K.;C;6.25;;3413
Titolare;Saelemaekers;C;6.5;imgBonus size-s imgBonus_9;2178
Titolare;Pulisic;C;6.75;imgBonus size-s imgBonus_9;3078
Titolare;Gytkjaer;A;5.75;;2743
Titolare;Thuram;A;5.75;;3073
Titolare;Muani;A;5.75;;3555
Riserva;Siegrist;P;;;3572
Riserva;Arnautovic;A;7.75;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9;2535
Titolare;Sohm;C;5.75;imgBonus size-s imgBonus_6;2363
Riserva;Freuler;C;5.5;;1091
Titolare;Gabbia;D;6.5;;1501
Riserva;Gaspar;D;5.5;;3368
Riserva;Yeboah;A;6.25;imgBonus size-s imgBonus_6;3506
