Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Meret;P;6;imgBonus size-s imgBonus_10;325
Titolare;De Vrij;D;6.25;;164
Titolare;Miranda J.;D;6.25;imgBonus size-s imgBonus_6;3395
Titolare;Solet;D;5;;3541
Titolare;Kolasinac;D;6.5;;3055
Titolare;Yildiz;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2952
Titolare;Orsolini;C;5.5;;1519
Titolare;Pellegrini Lo.;C;5.5;;364
Titolare;Weah;C;6;;3074
Titolare;Frattesi;C;5.5;;1431
Titolare;Gudmundsson;A;5.5;;2713
Riserva;Scuffet;P;;;422
Riserva;Dominguez B.;C;6;;3493
Riserva;Kone M.;C;6.5;;3500
Riserva;Man;C;;;2431
Riserva;Acerbi;D;;;40
Riserva;Mancini;D;6.25;imgBonus size-s imgBonus_6;1549
Riserva;Cutrone;A;;;1390
