Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Di Gregorio;P;7;imgBonus size-s imgBonus_2;1429
Titolare;Savona;D;5.5;imgBonus size-s imgBonus_6;3446
Titolare;Di Lorenzo;D;6.25;;1822
Titolare;Maripan;D;5.5;;3492
Titolare;Jimenez;D;6;;3254
Titolare;Adli;C;5.5;imgBonus size-s imgBonus_9;2771
Titolare;De Roon;C;5.5;;670
Titolare;Rovella;C;6;;2114
Titolare;Karlstrom;C;6.5;imgBonus size-s imgBonus_9;3443
Titolare;Castellanos;A;6.5;imgBonus size-s imgBonus_6;3100
Titolare;Lukaku;A;6.75;imgBonus size-s imgBonus_1;2099
Riserva;Pinsoglio;P;;;1517
Riserva;Pisilli;C;5.75;;2936
Riserva;Castro;A;5.5;imgBonus size-s imgBonus_6;3285
Riserva;Brescianini;C;;;1903
Riserva;Lucumi;D;5;imgBonus size-s imgBonus_6;2839
Riserva;Pedro Pereira;D;6;imgBonus size-s imgBonus_6;1005
Riserva;Ricci;C;5;;1269
