Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Svilar;P;5.5;imgBonus size-s imgBonus_2;2746
Titolare;Zampano;D;5.75;;1171
Titolare;Bellanova;D;6.25;;1717
Titolare;Dumfries;D;6;;2551
Riserva;Pavlovic;D;;;3436
Titolare;Pellegrini Lo.;C;6;;364
Titolare;El Shaarawy;C;6;;190
Titolare;Oristanio;C;7.25;imgBonus size-s imgBonus_1;3098
Titolare;Krstovic;A;5.5;;3191
Titolare;Morata;A;5.75;imgBonus size-s imgBonus_6;336
Titolare;Lookman;A;7;imgBonus size-s imgBonus_9;2812
Riserva;Joronen;P;5.25;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_8;2002
Titolare;Tchatchoua;D;5.5;;3219
Riserva;Candela;D;6;;1943
Riserva;Biraghi;D;;;95
Riserva;Zielinski;C;6;;486
Riserva;Fabbian;C;5.5;;3072
Riserva;Viola;C;6;;1573
