Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Ravaglia;P;5.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;2318
Titolare;Spinazzola;D;6;;957
Titolare;Beukema;D;5.5;;3056
Titolare;Vojvoda;D;6;;2292
Titolare;Strefezza;C;5.75;;2046
Titolare;Fofana;C;6.5;;3467
Titolare;Guendouzi;C;6;;3215
Titolare;Locatelli;C;5.75;imgBonus size-s imgBonus_6;1123
Riserva;Calhanoglu;C;;;1507
Riserva;Soule;A;;;2604
Riserva;Leao;A;;;2089
Riserva;Falcone;P;5.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1449
Riserva;Olivera;D;6.25;;2754
Riserva;Romagnoli A.;D;4.75;imgBonus size-s imgBonus_7;404
Titolare;Lovric;C;6.5;;2762
Riserva;Tchaouna;C;;;3207
Titolare;Abraham;A;5;;2558
Titolare;Rebic;A;5.25;;625
