Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Provedel;P;6;imgBonus size-s imgBonus_2;500
Titolare;Tavares;D;6;;3404
Titolare;Buongiorno;D;7;;1463
Titolare;Zappacosta;D;6.25;;484
Titolare;Angelino;D;6.25;;3286
Riserva;Maldini;C;;;2083
Titolare;Mihaila;C;6.25;imgBonus size-s imgBonus_6;2365
Titolare;Ederson;C;6.75;imgBonus size-s imgBonus_6;2701
Titolare;Retegui;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9;3151
Titolare;Dia;A;5.75;;2842
Titolare;Dybala;A;6.25;;185
Riserva;Suzuki;P;6.25;imgBonus size-s imgBonus_2;3408
Titolare;Moro;C;6.5;imgBonus size-s imgBonus_9;2850
Riserva;Pasalic;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1357
Riserva;Gatti;D;6.25;;2741
Riserva;Ndicka;D;6.5;;3080
Riserva;Darmian;D;6;imgBonus size-s imgBonus_6;154
Riserva;Fabbian;C;;;3072
