Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Svilar;P;6.75;imgBonus size-s imgBonus_2;2746
Titolare;Bellanova;D;6.25;;1717
Titolare;Pavlovic;D;6.25;;3436
Titolare;Ranieri;D;6.25;imgBonus size-s imgBonus_6;1587
Titolare;Tchatchoua;D;5.25;imgBonus size-s imgBonus_6;3219
Titolare;Pellegrini Lo.;C;6.25;;364
Titolare;Barella;C;6.25;imgBonus size-s imgBonus_6;809
Titolare;Oristanio;C;6.25;;3098
Titolare;Isaksen;C;5.5;;3165
Titolare;Morata;A;6.25;;336
Titolare;Lookman;A;6.5;;2812
Riserva;Ryan;P;;;3409
Riserva;Dumfries;D;6.5;;2551
Riserva;Zampano;D;6;;1171
Riserva;Linetty;C;7.5;imgBonus size-s imgBonus_1;1294
Riserva;Viola;C;6.75;imgBonus size-s imgBonus_1;1573
Riserva;Candela;D;4.5;;1943
Riserva;Krstovic;A;5;;3191
