Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Milinkovic;P;5.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1523
Riserva;Giannetti;D;;;3260
Titolare;Kempf;D;6.75;;3490
Titolare;Dimarco;D;6;;599
Titolare;Man;C;5.75;;2431
Titolare;De Ketelaere;C;6.5;;2804
Titolare;Adzic;C;6;;3405
Titolare;Yildiz;C;5.75;;2952
Titolare;Adams;A;5.75;;3421
Titolare;Pinamonti;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;1306
Titolare;Kean;A;6.5;;1386
Riserva;Scuffet;P;6.75;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;422
Riserva;Banda;A;5;;2810
Riserva;Brenner;A;6;;3089
Riserva;Belahyane;C;6;;3281
Riserva;Marin;C;6.25;;2311
Titolare;Ruggeri;D;6.25;;2366
Riserva;Bijol;D;6.25;imgBonus size-s imgBonus_6;2773
