Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Di Gregorio;P;6;imgBonus size-s imgBonus_10;1429
Titolare;Cambiaso;D;6;;2556
Titolare;Pezzella;D;6.5;;706
Titolare;Savona;D;6;imgBonus size-s imgBonus_6;3446
Titolare;Augello;D;6;;2087
Titolare;Lazovic;C;5.75;;669
Titolare;Bernabe;C;6.5;;3378
Titolare;Martinez L.;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1747
Titolare;Lucca;A;5.5;imgBonus size-s imgBonus_6;3090
Titolare;Piccoli;A;6.75;;1920
Titolare;Almqvist;A;6.25;;3076
Riserva;Perin;P;;;369
Riserva;Gilmour;C;5.5;;3499
Riserva;Gaetano;C;6.25;;1944
Riserva;Bondo;C;6.5;;2798
Riserva;Cabal;D;6.5;;2841
Riserva;Davis;A;6;;3230
Riserva;Celik;D;5.5;;2755
