Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Riserva;Mandas;P;;;3224
Titolare;Angelino;D;6;;3286
Titolare;Gatti;D;5.5;;2741
Titolare;Buongiorno;D;6;imgBonus size-s imgBonus_6;1463
Titolare;Ederson;C;7;;2701
Titolare;Mckennie;C;5.25;;2297
Titolare;Cambiaghi;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1975
Titolare;Soule;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2604
Titolare;Retegui;A;6.75;imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_15;3151
Titolare;Dia;A;5.5;;2842
Riserva;Dybala;A;;;185
Titolare;Provedel;P;6.25;imgBonus size-s imgBonus_2;500
Riserva;Tavares;D;;;3404
Titolare;Mbangula;C;5;;3463
Riserva;Ndicka;D;6.75;;3080
Riserva;Cuadrado;D;6.75;;952
Riserva;Coulibaly L.;C;6.25;;2554
Riserva;Walker;D;5.5;;3567
