Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Carnesecchi;P;6.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;2299
Titolare;Jimenez;D;5.75;imgBonus size-s imgBonus_6;3254
Titolare;Cambiaso;D;6.25;;2556
Titolare;Maripan;D;6.25;;3492
Titolare;Di Lorenzo;D;5.5;;1822
Titolare;Pisilli;C;6;;2936
Titolare;Mkhitaryan;C;6.25;;2124
Titolare;De Roon;C;6;;670
Riserva;Castellanos;A;;;3100
Titolare;Castro;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;3285
Titolare;Lukaku;A;6;;2099
Riserva;Rui Patricio;P;;;2508
Titolare;Karlstrom;C;5.75;;3443
Riserva;Dallinga;A;;;3422
Riserva;Juan Jesus;D;6;;261
Riserva;Ricci;C;5.75;;1269
Riserva;Koopmeiners;C;4.5;;2580
Riserva;Brescianini;C;5.75;;1903
