Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Mandas;P;6.25;imgBonus size-s imgBonus_10;3224
Titolare;Angelino;D;6.5;;3286
Titolare;Zappacosta;D;6.25;;484
Titolare;Sabelli;D;6;;1094
Titolare;Ederson;C;5.75;;2701
Titolare;Mckennie;C;6;;2297
Titolare;Cambiaghi;C;6.5;;1975
Titolare;Fagioli;C;6;;1921
Titolare;Retegui;A;7;imgBonus size-s imgBonus_9|imgBonus size-s imgBonus_9;3151
Titolare;Dia;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2842
Titolare;Soule;A;5.5;imgBonus size-s imgBonus_6;2604
Riserva;Provedel;P;;;500
Riserva;Ndicka;D;6.5;;3080
Riserva;Conceicao;C;;;3478
Riserva;Caprari;A;5.5;;1185
Riserva;Walker;D;;;3567
Riserva;Coulibaly L.;C;6;;2554
Riserva;Cuadrado;D;;imgBonus size-s imgBonus_6;952
