Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Riserva;Sommer;P;;;3174
Riserva;Bastoni A.;D;;;1389
Riserva;Rensch;D;;;3565
Titolare;Bisseck;D;6.25;;3093
Titolare;Delprato;D;5.5;;1905
Titolare;Reijnders;C;6;;3149
Titolare;Mctominay;C;6.5;;3488
Titolare;Frendrup;C;5.5;imgBonus size-s imgBonus_8;2706
Titolare;Zaccagni;C;6;;748
Titolare;Dovbyk;A;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;3439
Titolare;Beltran;A;6;;3178
Titolare;De Gea;P;6.25;imgBonus size-s imgBonus_2;3448
Titolare;Martin;D;6.5;imgBonus size-s imgBonus_9;3068
Titolare;Bijol;D;6;imgBonus size-s imgBonus_6;2773
Riserva;Perrone;C;6;;3475
Riserva;Baldanzi;C;6;;2599
Riserva;Mota;A;5.25;;1696
Riserva;Djuric;A;;;854
