Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Riserva;Provedel;P;;;500
Titolare;Angelino;D;5.5;;3286
Titolare;Zappacosta;D;5.5;;484
Riserva;Buongiorno;D;;;1463
Titolare;Ederson;C;5.75;;2701
Riserva;Conceicao;C;;;3478
Titolare;Cambiaghi;C;;;1975
Titolare;Fagioli;C;6.5;;1921
Titolare;Retegui;A;5.5;;3151
Titolare;Dia;A;6;;2842
Titolare;Soule;A;6;;2604
Titolare;Mandas;P;6.5;imgBonus size-s imgBonus_10;3224
Titolare;Ndicka;D;6;;3080
Titolare;Mckennie;C;6;;2297
Riserva;Walker;D;5.5;imgBonus size-s imgBonus_6;3567
Riserva;Hummels;D;6;;3516
Riserva;Coulibaly L.;C;6;;2554
Riserva;Kouame;A;5.5;;1836
