Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Sommer;P;6.5;imgBonus size-s imgBonus_2;3174
Titolare;Bastoni A.;D;6;;1389
Titolare;Martin;D;6;;3068
Titolare;Bijol;D;5;imgBonus size-s imgBonus_6;2773
Titolare;Zaccagni;C;6;imgBonus size-s imgBonus_6;748
Titolare;Reijnders;C;7.25;imgBonus size-s imgBonus_1;3149
Titolare;Mctominay;C;7.75;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;3488
Titolare;Neres;C;6.25;;3472
Riserva;Tengstedt;A;;;3449
Titolare;Dovbyk;A;5.25;;3439
Titolare;Beltran;A;6;;3178
Riserva;De Gea;P;6.25;imgBonus size-s imgBonus_10;3448
Riserva;Delprato;D;6.5;;1905
Riserva;Bisseck;D;7;imgBonus size-s imgBonus_1;3093
Riserva;Frendrup;C;;;2706
Riserva;Perrone;C;6.5;;3475
Titolare;Mota;A;5.25;;1696
Riserva;Djuric;A;;;854
