Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Suzuki;P;5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;3408
Titolare;Pezzella;D;5.25;;706
Riserva;Posch;D;;;2868
Titolare;Vitik;D;;;3710
Titolare;Paz;C;7.5;imgBonus size-s imgBonus_1;3476
Titolare;Tramoni;C;5.75;;2346
Titolare;Vandeputte;C;6;;3718
Titolare;Perrone;C;6;;3475
Titolare;David;A;6;imgBonus size-s imgBonus_9;3735
Titolare;Pellegrino;A;5;;3589
Titolare;Esposito S.;A;6.25;imgBonus size-s imgBonus_6;2091
Riserva;Skorupski;P;6.25;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_6;429
Riserva;Castro;A;5;;3285
Riserva;Pinamonti;A;6;imgBonus size-s imgBonus_6;1306
Riserva;Collocolo;C;6;imgBonus size-s imgBonus_6;3719
Riserva;Piotrowski;C;6.25;;3776
Riserva;Rrahmani;D;;;2045
Titolare;Akanji;D;5.5;;3818
