Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Okoye;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;3210
Titolare;Akanji;D;7;imgBonus size-s imgBonus_1;3818
Titolare;Bisseck;D;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;3093
Titolare;Solet;D;7;imgBonus size-s imgBonus_3;3541
Titolare;Thuram K.;C;6;;3413
Titolare;Toure I.;C;6;;3725
Riserva;El Aynaoui;C;;;3750
Titolare;Durosinmi;A;5.75;;3866
Titolare;Malen;A;8;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;3877
Riserva;Esposito Pio;A;;;3744
Titolare;Thuram;A;7;imgBonus size-s imgBonus_1;3073
Riserva;Corvi;P;7;imgBonus size-s imgBonus_10;2183
Riserva;Bonny;A;;;3380
Riserva;Iling Jr.;C;;;2735
Titolare;Bernardeschi;C;6.5;;86
Titolare;Rowe;C;6.75;;3794
Riserva;Zemura;D;6.5;;3086
Riserva;Rinaldi;P;;;2376
