Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Caprile;P;4.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1904
Titolare;Vojvoda;D;5.5;;2292
Titolare;Celik;D;5.75;;2755
Titolare;Ostigard;D;6.25;;2632
Titolare;Coco;D;6;;3406
Titolare;Mazzitelli;C;6.25;;1290
Titolare;Isaksen;C;5;;3165
Titolare;Vergara;C;5.5;;2639
Riserva;Pulisic;C;;;3078
Titolare;Conceicao;C;6;;3478
Riserva;Dybala;A;;;185
Riserva;Muric;P;5.5;imgBonus size-s imgBonus_2;3781
Riserva;Kristensen T.;D;5.5;;3221
Riserva;Bellanova;D;;;1717
Titolare;Barella;C;5.5;imgBonus size-s imgBonus_6;809
Riserva;Taylor;C;6;imgBonus size-s imgBonus_6;3872
Riserva;Scamacca;A;;;1454
Titolare;Vardy;A;5.5;;3807
