Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Bijlow;P;7;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;3886
Titolare;Ndicka;D;6.5;imgBonus size-s imgBonus_1;3080
Titolare;Ramon;D;6.5;;3772
Titolare;Tomori;D;6;;2428
Titolare;Carlos Augusto;D;6.25;;2740
Titolare;De Roon;C;5.25;;670
Titolare;Strefezza;C;5.5;;2046
Titolare;Rabiot;C;6.25;;2029
Titolare;Lukaku;A;6.75;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_15;2099
Titolare;David;A;5.5;;3735
Titolare;Berardi;A;6.75;;84
Riserva;Leali;P;;;651
Riserva;Pierotti;A;5.5;;3265
Riserva;Fadera;C;;;3459
Riserva;Frattesi;C;;;1431
Riserva;Leris;C;5.75;;1277
Riserva;Mancini;D;6;;1549
Riserva;Zappa;D;;;2325
