Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Motta;P;6.5;imgBonus size-s imgBonus_2;3889
Titolare;Dimarco;D;6;;599
Titolare;Kalulu;D;6.25;;2277
Titolare;Spinazzola;D;6.5;;957
Titolare;Zielinski;C;6.5;imgBonus size-s imgBonus_9;486
Titolare;Modric;C;6.25;;3734
Titolare;Zaniolo;C;6.5;;1827
Titolare;Mckennie;C;6.75;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;2297
Titolare;Maldini;C;6;;2083
Titolare;Krstovic;A;6.75;imgBonus size-s imgBonus_1;3191
Titolare;Lauriente;A;5.5;;2857
Riserva;Maignan;P;6;imgBonus size-s imgBonus_2;2498
Riserva;Calhanoglu;C;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9;1507
Riserva;Loftus Cheek;C;;;3077
Riserva;Fullkrug;A;5.5;;3854
Riserva;Tavares;D;6;;3404
Riserva;Idzes;D;5;;3361
Riserva;Kabasele;D;7;;3152
