Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Meret;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;325
Titolare;Kempf;D;5.5;;3490
Titolare;Valeri;D;6.5;imgBonus size-s imgBonus_9;2757
Titolare;De Vrij;D;6;;164
Titolare;Politano;C;6.5;;510
Titolare;Atta;C;6;;3509
Titolare;Ferguson;C;6;;2783
Titolare;Kuhn;C;6;;3712
Titolare;Martinez L.;A;6.75;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1747
Titolare;Castellanos;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_9;3100
Titolare;Orban;A;5.5;;3805
Riserva;Milinkovic;P;;;1523
Riserva;Ngonge;A;7.25;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;2906
Riserva;Pedro;A;;;2289
Riserva;Malinovskyi;C;5.5;imgBonus size-s imgBonus_6;2078
Riserva;Toure I.;C;6;;3725
Riserva;Joao Mario;D;6.25;;3755
Riserva;Nelsson;D;5;;3590
