Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Svilar;P;6.5;imgBonus size-s imgBonus_10;2746
Titolare;Dodo;D;5.5;imgBonus size-s imgBonus_6;2793
Titolare;Pavlovic;D;5;;3436
Titolare;Djimsiti;D;5;;1090
Titolare;Terracciano F.;D;5.5;imgBonus size-s imgBonus_6;2217
Titolare;Saelemaekers;C;6.5;imgBonus size-s imgBonus_1;2178
Titolare;Fofana;C;5.25;;3467
Titolare;Mandragora;C;5.5;;299
Titolare;Lobotka;C;5.5;;2158
Riserva;Kean;A;;;1386
Titolare;Giovane;A;6;;3740
Riserva;Vasquez D.;P;;;2892
Riserva;Gollini;P;;;222
Titolare;Gabriel;D;6.5;;3573
Riserva;Maripan;D;7;;3492
Riserva;Sohm;C;6.75;imgBonus size-s imgBonus_9;2363
Riserva;Guendouzi;C;5.5;;3215
Riserva;Sulemana K.;A;;;3709
