Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Svilar;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;2746
Titolare;Dodo;D;6;;2793
Titolare;Bremer;D;6.25;;1773
Titolare;Pavlovic;D;5.75;imgBonus size-s imgBonus_1;3436
Titolare;Mandragora;C;5.75;;299
Titolare;Thorsby;C;6;;2036
Riserva;De Bruyne;C;;;3732
Titolare;Volpato;C;6.25;;2626
Titolare;Saelemaekers;C;5.25;imgBonus size-s imgBonus_6;2178
Titolare;Ekuban;A;5.5;;2542
Titolare;Banda;A;6;;2810
Riserva;Gollini;P;;;222
Riserva;Gimenez;A;5.25;;3582
Riserva;Noslin;A;5.75;imgBonus size-s imgBonus_6;3277
Titolare;Fofana;C;5.75;;3467
Riserva;Freuler;C;6;;1091
Riserva;Muharemovic;D;5.25;;3727
Riserva;Terracciano F.;D;6.25;;2217
