Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Butez;P;6.25;imgBonus size-s imgBonus_10;3545
Titolare;Gosens;D;6;;1533
Titolare;Frese;D;6;imgBonus size-s imgBonus_6;3402
Titolare;Wesley;D;5.5;;2120
Titolare;Bartesaghi;D;4.75;;3142
Titolare;Cristante;C;6;;1080
Titolare;Da Cunha;C;6.75;;3387
Riserva;Boga;C;;;1840
Titolare;Baturina;C;6.5;;3714
Riserva;Elmas;C;;;2085
Titolare;Hojlund;A;5.75;imgBonus size-s imgBonus_9;2851
Riserva;Carnesecchi;P;7;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;2299
Titolare;Mkhitaryan;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;2124
Titolare;Locatelli;C;6.25;;1123
Riserva;Raspadori;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1947
Riserva;Marusic;D;5;;1506
Riserva;Lazaro;D;6;;2019
Riserva;Pongracic;D;6.5;;2846
