Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Riserva;Ravaglia;P;;;2318
Titolare;Vasquez;D;6.25;;2550
Titolare;Luperto;D;6.25;;682
Titolare;Pezzella;D;6;;706
Titolare;Lucumi;D;6.5;;2839
Titolare;Vandeputte;C;5.75;;3718
Titolare;Thorstvedt;C;5.5;;2772
Titolare;Bernede;C;5.5;;3594
Titolare;Castro;A;5.75;;3285
Titolare;Esposito S.;A;6.75;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2091
Titolare;Pinamonti;A;5.5;;1306
Titolare;Falcone;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1449
Riserva;Kilicsoy;A;;;3774
Riserva;Gandelman;C;5.5;;3871
Riserva;Paz;C;7.5;imgBonus size-s imgBonus_1;3476
Riserva;Vitik;D;;;3710
Riserva;Mina;D;6.5;;3163
Riserva;Tramoni;C;5.5;;2346
