Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Svilar;P;6.5;imgBonus size-s imgBonus_10;2746
Titolare;Muharemovic;D;5.5;imgBonus size-s imgBonus_6;3727
Titolare;Bremer;D;6;;1773
Titolare;Pavlovic;D;5;;3436
Titolare;Mandragora;C;6.5;;299
Titolare;Fofana;C;5.75;;3467
Titolare;De Bruyne;C;6;;3732
Titolare;Volpato;C;5.5;;2626
Titolare;Banda;A;5.5;;2810
Riserva;Kean;A;;;1386
Riserva;Gimenez;A;;;3582
Riserva;Gollini;P;;;222
Riserva;Dodo;D;6;imgBonus size-s imgBonus_6;2793
Riserva;Terracciano F.;D;5.5;imgBonus size-s imgBonus_6;2217
Riserva;Saelemaekers;C;5.25;;2178
Riserva;Freuler;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1091
Titolare;Ekuban;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2542
Titolare;Kulenovic;A;6;;3903
