Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Caprile;P;7.5;imgBonus size-s imgBonus_2;1904
Titolare;Cambiaso;D;5.5;;2556
Riserva;Kristensen T.;D;;;3221
Titolare;Juan Jesus;D;5.75;;261
Titolare;Folorunsho;C;6.25;;2533
Titolare;Coulibaly L.;C;6.25;;2554
Titolare;Pulisic;C;5;imgBonus size-s imgBonus_4;3078
Titolare;Barella;C;7.25;imgBonus size-s imgBonus_1;809
Titolare;Conceicao;C;6.5;;3478
Titolare;Cancellieri;A;8;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_1;2387
Titolare;Cutrone;A;4.5;;1390
Riserva;De Gea;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;3448
Titolare;Coco;D;5;imgBonus size-s imgBonus_1;3406
Riserva;Zemura;D;;;3086
Riserva;Oristanio;C;;;3098
Riserva;Freuler;C;6.5;;1091
Riserva;Mandragora;C;5;;299
Riserva;Vardy;A;6;;3807
