Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Semper;P;6.25;imgBonus size-s imgBonus_10;1858
Titolare;Bastoni A.;D;6.5;;1389
Titolare;Kelly;D;6;imgBonus size-s imgBonus_6;3584
Titolare;Delprato;D;6.25;;1905
Riserva;Mctominay;C;;;3488
Titolare;Bernabe;C;6;;3378
Titolare;Prati;C;5.75;;3189
Titolare;Vazquez;C;6.25;;463
Titolare;Soule;A;5.5;;2604
Titolare;Douvikas;A;6;;3598
Titolare;Pierotti;A;5.75;;3265
Riserva;Sommer;P;6.25;imgBonus size-s imgBonus_10;3174
Riserva;Morata;A;6;;336
Riserva;Camarda;A;5.5;;3250
Titolare;Nicolussi;C;5.75;imgBonus size-s imgBonus_6;1955
Riserva;Sucic;C;5.5;imgBonus size-s imgBonus_6;3737
Riserva;Olivera;D;5.5;;2754
Riserva;Ranieri;D;6.5;imgBonus size-s imgBonus_6;1587
