Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Caprile;P;6.25;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;1904
Titolare;Cambiaso;D;5;;2556
Titolare;Juan Jesus;D;5.5;imgBonus size-s imgBonus_6;261
Titolare;Coco;D;7;;3406
Titolare;Conceicao;C;5.75;;3478
Titolare;Folorunsho;C;6;;2533
Titolare;Coulibaly L.;C;5.5;;2554
Titolare;Barella;C;6.75;imgBonus size-s imgBonus_9;809
Titolare;Dybala;A;5.75;;185
Titolare;Cancellieri;A;6;;2387
Titolare;Vardy;A;5.5;imgBonus size-s imgBonus_6;3807
Riserva;De Gea;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;3448
Riserva;Mandragora;C;5.5;;299
Riserva;Moreo;A;5.5;;2496
Riserva;Buongiorno;D;6;;1463
Riserva;Freuler;C;6.25;;1091
Riserva;Vojvoda;D;6.5;;2292
Riserva;Scamacca;A;;;1454
