Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Maignan;P;6;imgBonus size-s imgBonus_10;2498
Titolare;Dimarco;D;7;imgBonus size-s imgBonus_9;599
Titolare;Kalulu;D;5.75;;2277
Titolare;Spinazzola;D;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;957
Titolare;Zaniolo;C;5.75;;1827
Titolare;Modric;C;6.75;;3734
Titolare;Loftus Cheek;C;6;;3077
Titolare;Zaccagni;C;5.5;imgBonus size-s imgBonus_6;748
Titolare;Calhanoglu;C;6.5;imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_9;1507
Titolare;Mckennie;C;7;imgBonus size-s imgBonus_1;2297
Titolare;Leao;A;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;2089
Riserva;Terracciano;P;;;1821
Riserva;Lauriente;A;6.5;;2857
Riserva;Piccoli;A;5.5;;1920
Riserva;Zielinski;C;7;imgBonus size-s imgBonus_1;486
Riserva;Doig;D;6.5;;2782
Riserva;Gila;D;5.75;;2776
Riserva;Dzeko;A;;;759
