Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Riserva;Okoye;P;;;3210
Titolare;Solet;D;6;;3541
Titolare;Akanji;D;6.75;;3818
Titolare;Norton Cuffy;D;5.75;;3458
Titolare;Kamara;D;5.75;imgBonus size-s imgBonus_6;3085
Titolare;Toure I.;C;6;;3725
Titolare;Thuram K.;C;6;;3413
Titolare;Neres;C;6.75;;3472
Titolare;Kone M.;C;5.5;;3500
Titolare;Davis;A;5.75;;3230
Titolare;Thuram;A;7.25;imgBonus size-s imgBonus_1;3073
Titolare;Padelli;P;6.25;imgBonus size-s imgBonus_2;350
Riserva;Openda;A;5;;3816
Riserva;David;A;4.25;imgBonus size-s imgBonus_4;3735
Riserva;Kone I.;C;5.5;;3771
Riserva;Ederson;C;5.75;;2701
Riserva;Tomori;D;6.5;;2428
Riserva;Hien;D;6;;2853
