Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Di Gregorio;P;6;imgBonus size-s imgBonus_2;1429
Titolare;Palestra;D;6.25;imgBonus size-s imgBonus_6;2937
Titolare;Kolasinac;D;6;;3055
Titolare;Estupinan;D;5.5;;1231
Titolare;Zappacosta;D;6.25;;484
Titolare;Zhegrova;C;6.25;;3814
Titolare;Frendrup;C;6;;2706
Titolare;Yildiz;C;7.25;;2952
Titolare;Vlasic;C;6.5;;2827
Titolare;Simeone;A;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;1343
Titolare;Adams;A;5.75;;3421
Riserva;Perin;P;;;369
Riserva;Zapata;A;6;;483
Riserva;Colombo;A;7;imgBonus size-s imgBonus_1;2309
Riserva;Rodriguez J.;C;6.25;imgBonus size-s imgBonus_6;3711
Riserva;Zalewski;C;6;;2382
Riserva;Angori;D;6.5;;2692
Riserva;Zanoli;D;5.5;;2574
