Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Okoye;P;6;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;3210
Titolare;Norton Cuffy;D;6;;3458
Titolare;Solet;D;6.25;;3541
Titolare;Hien;D;6;;2853
Titolare;Kamara;D;5.75;;3085
Titolare;Ederson;C;6.5;;2701
Titolare;Kone M.;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6|imgBonus size-s imgBonus_15;3500
Titolare;Rowe;C;5.5;;3794
Titolare;Thuram;A;6.25;imgBonus size-s imgBonus_9;3073
Titolare;David;A;7;imgBonus size-s imgBonus_1;3735
Titolare;Davis;A;6;imgBonus size-s imgBonus_3;3230
Riserva;Padelli;P;;;350
Riserva;Openda;A;;;3816
Riserva;Thuram K.;C;7.25;imgBonus size-s imgBonus_9;3413
Riserva;Neres;C;;;3472
Riserva;Bisseck;D;5.5;;3093
Riserva;Akanji;D;5.5;;3818
Riserva;Mina;D;;;3163
