Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Okoye;P;6.5;imgBonus size-s imgBonus_10;3210
Titolare;Solet;D;6.5;;3541
Titolare;Bisseck;D;6.25;;3093
Titolare;Kelly;D;6.5;;3584
Titolare;NDour;C;5.75;;3585
Titolare;Rowe;C;6.75;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;3794
Titolare;Thorstvedt;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;2772
Titolare;Kone M.;C;6;;3500
Titolare;Bernardeschi;C;7;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_6;86
Titolare;Douvikas;A;6.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_15;3598
Titolare;Malen;A;7.5;imgBonus size-s imgBonus_1|imgBonus size-s imgBonus_3|imgBonus size-s imgBonus_15;3877
Riserva;Suzuki;P;7.5;imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2|imgBonus size-s imgBonus_2;3408
Riserva;Rinaldi;P;;;2376
Riserva;Corvi;P;;;2183
Riserva;Kone I.;C;5.75;;3771
Riserva;Akanji;D;;;3818
Riserva;Ahanor;D;5.5;;3468
Riserva;Marcandalli;D;6.5;;3362
