Stato;Giocatore;Ruolo;Voto;BonusMalus;CalciatoreId
Titolare;Di Gregorio;P;6.5;imgBonus size-s imgBonus_10;1429
Titolare;Dumfries;D;6;;2551
Titolare;Palestra;D;5.5;;2937
Titolare;Obrador;D;5.75;;3885
Titolare;Zappacosta;D;7;imgBonus size-s imgBonus_1;484
Titolare;Yildiz;C;6.25;;2952
Titolare;Frendrup;C;6.5;;2706
Titolare;Vlasic;C;6.25;;2827
Titolare;Bonazzoli;A;6.5;imgBonus size-s imgBonus_1;102
Titolare;Simeone;A;7.25;imgBonus size-s imgBonus_1;1343
Titolare;Diao;A;5.5;;3546
Riserva;Perin;P;;;369
Riserva;Ehizibue;D;5.75;imgBonus size-s imgBonus_6;2860
Riserva;Obert;D;5.75;;2600
Riserva;Solomon;C;5.5;;3862
Riserva;Sucic;C;7;imgBonus size-s imgBonus_1;3737
Riserva;Colombo;A;5.5;;2309
Riserva;Gudmundsson;A;;;2713
